LOWER;MIDDLE;UPPER
1.0;1.0;0.0
1.0;1.0;0.0
0.8796296296296297;1.0;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
1.0;1.0;0.0
0.0;0.5;0.0
